name,lat,lng,type
서울,37.5665,126.9780,지역
부산,35.1796,129.0756,지역
대구,35.8714,128.6014,지역
광주,35.1595,126.8526,지역
여의도,37.5219,126.9245,의정
종로구,37.5730,126.9794,지역구
종로,37.5730,126.9794,지역구
청와대,37.5866,126.9748,기관
국회의사당,37.5320,126.9140,의정
판문점,37.9556,126.6768,남북
평양,39.0392,125.7625,남북
개성,37.9700,126.5540,남북
워싱턴,38.9072,-77.0369,해외
도쿄,35.6762,139.6503,해외
베이징,39.9042,116.4074,해외
무주군,36.0069,127.6608,지역구
장수군,35.6475,127.5214,지역구
임실군,35.6178,127.2790,지역구
진안군,35.7917,127.4250,지역구
전라북도,35.7175,127.1530,지역
호남,35.3000,126.9000,지역
영남,35.8000,128.6000,지역
강원도,37.8228,128.1555,지역
제주,33.4996,126.5312,지역
인천,37.4563,126.7052,지역
대전,36.3504,127.3845,지역
울산,35.5384,129.3114,지역
세종,36.4801,127.2890,지역
경기도,37.4138,127.5183,지역
충남 금산,36.1089,127.4880,지역
충북 영동,36.1750,127.7764,지역
경북 김천,36.1398,128.1136,지역
동교동,37.5563,126.9236,정당
삼일빌딩,37.5704,126.9910,직장
영락교회,37.5641,126.9946,기타
장충단,37.5590,127.0057,기타
동학사,36.3419,127.2100,기타
롱비치 항,33.7550,-118.2160,해외
영국,51.5074,-0.1278,해외
미국,38.9072,-77.0369,해외
무주,36.0069,127.6608,지역구
장수,35.6475,127.5214,지역구
진안,35.7917,127.4250,지역구
임실,35.6178,127.2790,지역구
뉴욕,40.7128,-74.0060,해외
로스앤젤레스,34.0522,-118.2437,해외
컬럼비아대,40.8075,-73.9626,해외
중구,37.5636,126.9976,지역
무진장,35.7917,127.4250,지역구
경상북도,36.5760,128.5056,지역
