id,name,lat,lng,type,desc
place/jinan,전라북도 진안,35.7917,127.425,출생,1950년 출생지
place/jeonju,전주,35.8242,127.148,학창,전주 신흥고등학교
place/korea-univ,고려대학교,37.5894,127.0324,학창,법학과·총학생회장(1973)
place/ssangyong,쌍용그룹 본사,37.5665,126.978,직장,1978년 공채 입사
place/newyork,뉴욕,40.7128,-74.006,해외,쌍용 뉴욕지점 4년
place/losangeles,로스앤젤레스,34.0522,-118.2437,해외,쌍용 LA지점 5년
place/pepperdine,페퍼다인대학교,34.0416,-118.7101,학업,1990년 경영학 석사
place/assembly,국회의사당,37.532,126.914,의정,"제15~20대 국회의원, 제20대 전반기 국회의장"
place/muju,무주,36.007,127.661,지역구,무진장(무주·진안·장수)
place/jangsu,장수,35.6473,127.521,지역구,무진장(무주·진안·장수)
place/shinheung,전주 신흥고등학교,35.8114,127.148,학창,1969년 졸업
place/nanet,국회도서관,37.5312,126.9137,기관,구술총서 발행처
place/nafr,국회미래연구원,37.5285,126.9195,기관,2018년 설립
